input	hiragana	katakana	consumed
okujou	おくじょう	オクジョウ	0
okunai	おくない	オクナイ	0
okura	おくら	オクラ	0
okurahoma	おくらほま	オクラホマ	0
okurasu	おくらす	オクラス	0
okure	おくれ	オクレ	0
okureru	おくれる	オクレル	0
okuri	おくり	オクリ	0
okuridashi	おくりだし	オクリダシ	0
okurigana	おくりがな	オクリガナ	0
okurikaesu	おくりかえす	オクリカエス	0
okurikomu	おくりこむ	オクリコム	0
okurimono	おくりもの	オクリモノ	0
okurinushi	おくりぬし	オクリヌシ	0
okurisaki	おくりさき	オクリサキ	0
okuru	おくる	オクル	0
okusama	おくさま	オクサマ	0
okusan	おくさん	オクサン	0
okusoku	おくそく	オクソク	0
okutaabu	おくたあぶ	オクタアブ	0
okuy	おく	オク	3
okuyama	おくやま	オクヤマ	0
okuyu	おくゆ	オクユ	0
okuyuk	おくゆ	オクユ	5
okuyuki	おくゆき	オクユキ	0
okuyukitaiin	おくゆきたいいん	オクユキタイイン	0
okyakusama	おきゃくさま	オキャクサマ	0
om	お	オ	1
oma	おま	オマ	0
omac	おま	オマ	3
omach	おま	オマ	3
omachi	おまち	オマチ	0
omachik	おまち	オマチ	6
omachika	おまちか	オマチカ	0
omachikan	おまちかん	オマチカン	0
omachikane	おまちかね	オマチカネ	0
omachikanekagen	おまちかねかげん	オマチカネカゲン	0
omae	おまえ	オマエ	0
omairi	おまいり	オマイリ	0
omak	おま	オマ	3
omake	おまけ	オマケ	0
omakegakui	おまけがくい	オマケガクイ	0
omakeni	おまけに	オマケニ	0
omamori	おまもり	オマモリ	0
omataseshimashita	おまたせしました	オマタセシマシタ	0
omawarisan	おまわりさん	オマワリサン	0
omedetou	おめでとう	オメデトウ	0
omedetougozaimasu	おめでとうございます	オメデトウゴザイマス	0
omega	おめが	オメガ	0
omei	おめい	オメイ	0
omikoshi	おみこし	オミコシ	0
omise	おみせ	オミセ	0
omitsumori	おみつもり	オミツモリ	0
omiyage	おみやげ	オミヤゲ	0
omo	おも	オモ	0
omocha	おもちゃ	オモチャ	0
omoi	おもい	オモイ	0
omoia	おもいあ	オモイア	0
omoiagaru	おもいあがる	オモイアガル	0
omoiat	おもいあ	オモイア	5
omoiata	おもいあた	オモイアタ	0
omoiatar	おもいあた	オモイアタ	7
omoiataru	おもいあたる	オモイアタル	0
omoiataruuchouten	おもいあたるうちょうてん	オモイアタルウチョウテン	0
omoidasu	おもいだす	オモイダス	0
omoide	おもいで	オモイデ	0
omoiegaku	おもいえがく	オモイエガク	0
omoigakenai	おもいがけない	オモイガケナイ	0
omoikiri	おもいきり	オモイキリ	0
omoikiru	おもいきる	オモイキル	0
omoikitte	おもいきって	オモイキッテ	0
omoikkiri	おもいっきり	オモイッキリ	0
omoikomu	おもいこむ	オモイコム	0
omoinaosu	おもいなおす	オモイナオス	0
omoiokosu	おもいおこす	オモイオコス	0
omoiomoi	おもいおもい	オモイオモイ	0
omoitodomaru	おもいとどまる	オモイトドマル	0
omoitsuki	おもいつき	オモイツキ	0
omoitsuku	おもいつく	オモイツク	0
omoiyari	おもいやり	オモイヤリ	0
omoiyaru	おもいやる	オモイヤル	0
omokage	おもかげ	オモカゲ	0
omoki	おもき	オモキ	0
omokurushii	おもくるしい	オモクルシイ	0
omomi	おもみ	オモミ	0
omomochi	おももち	オモモチ	0
omomuki	おもむき	オモムキ	0
omomuku	おもむく	オモムク	0
omoni	おもに	オモニ	0
omonjiru	おもんじる	オモンジル	0
omonzuru	おもんずる	オモンズル	0
omoru	おもる	オモル	0
omosa	おもさ	オモサ	0
omoshi	おもし	オモシ	0
omoshiro	おもしろ	オモシロ	0
omoshiroi	おもしろい	オモシロイ	0
omot	おも	オモ	3
omota	おもた	オモタ	0
omotai	おもたい	オモタイ	0
omotaiganbou	おもたいがんぼう	オモタイガンボウ	0
omote	おもて	オモテ	0
omotedatsu	おもてだつ	オモテダツ	0
omotedatte	おもてだって	オモテダッテ	0
omotedoori	おもてどおり	オモテドオリ	0
omotemaruchimedeia	おもてまるちめでいあ	オモテマルチメデイア	0
omotemuki	おもてむき	オモテムキ	0
omotenashi	おもてなし	オモテナシ	0
omou	おもう	オモウ	0
omouzonbun	おもうぞんぶん	オモウゾンブン	0
omowaku	おもわく	オモワク	0
omowareru	おもわれる	オモワレル	0
omowazu	おもわず	オモワズ	0
omunibasu	おむにばす	オムニバス	0
omuretsu	おむれつ	オムレツ	0
omutsu	おむつ	オムツ	0
on	おん	オン	0
ona	おな	オナ	0
onaj	おな	オナ	3
onaji	おなじ	オナジ	0
onajiku	おなじく	オナジク	0
onajim	おなじ	オナジ	5
onajimi	おなじみ	オナジミ	0
onajimikyakkan	おなじみきゃっかん	オナジミキャッカン	0
onak	おな	オナ	3
onaka	おなか	オナカ	0
onakakenshou	おなかけんしょう	オナカケンショウ	0
onakanoko	おなかのこ	オナカノコ	0
onamae	おなまえ	オナマエ	0
onara	おなら	オナラ	0
onbin	おんびん	オンビン	0
onbu	おんぶ	オンブ	0
onbuzuman	おんぶずまん	オンブズマン	0
onchi	おんち	オンチ	0
onchuu	おんちゅう	オンチュウ	0
ondan	おんだん	オンダン	0
ondo	おんど	オンド	0
ondokei	おんどけい	オンドケイ	0
ondoku	おんどく	オンドク	0
one	おね	オネ	0
onea	おねあ	オネア	0
oneesan	おねえさん	オネエサン	0
onegai	おねがい	オネガイ	0
onegaiitashimasu	おねがいいたします	オネガイイタシマス	0
onegaishimasu	おねがいします	オネガイシマス	0
ongaeshi	おんがえし	オンガエシ	0
ongaku	おんがく	オンガク	0
ongakuka	おんがくか	オンガクカ	0
oni	おに	オニ	0
onigiri	おにぎり	オニギリ	0
onigokko	おにごっこ	オニゴッコ	0
oniisan	おにいさん	オニイサン	0
onion	おにおん	オニオン	0
onjin	おんじん	オンジン	0
onk	おん	オン	2
onka	おんか	オンカ	0
onkai	おんかい	オンカイ	0
onkaitaisou	おんかいたいそう	オンカイタイソウ	0
onkei	おんけい	オンケイ	0
onken	おんけん	オンケン	0
onkou	おんこう	オンコウ	0
onkun	おんくん	オンクン	0
onky	おん	オン	2
onkyou	おんきょう	オンキョウ	0
onkyu	おんきゅ	オンキュ	0
onkyuu	おんきゅう	オンキュウ	0
onkyuutaishuu	おんきゅうたいしゅう	オンキュウタイシュウ	0
onna	おんな	オンナ	0
onnagata	おんながた	オンナガタ	0
onnanohito	おんなのひと	オンナノヒト	0
onnanoko	おんなのこ	オンナノコ	0
onnarashii	おんならしい	オンナラシイ	0
onoono	おのおの	オノオノ	0
onore	おのれ	オノレ	0
onozukara	おのずから	オノズカラ	0
onpareedo	おんぱれえど	オンパレエド	0
onpu	おんぷ	オンプ	0
onrain	おんらいん	オンライン	0
onrii	おんりい	オンリイ	0
onryou	おんりょう	オンリョウ	0
onsei	おんせい	オンセイ	0
onsen	おんせん	オンセン	0
onsha	おんしゃ	オンシャ	0
onshi	おんし	オンシ	0
onshirazu	おんしらず	オンシラズ	0
onshitsu	おんしつ	オンシツ	0
onshou	おんしょう	オンショウ	0
onsu	おんす	オンス	0
ontai	おんたい	オンタイ	0
ontei	おんてい	オンテイ	0
ontou	おんとう	オントウ	0
onwa	おんわ	オンワ	0
onyomi	おにょみ	オニョミ	0
onzon	おんぞん	オンゾン	0
oo	おお	オオ	0
ooakinai	おおあきない	オオアキナイ	0
ooame	おおあめ	オオアメ	0
ooatari	おおあたり	オオアタリ	0
oobaa	おおばあ	オオバア	0
oobaahiito	おおばあひいと	オオバアヒイト	0
oobaaran	おおばあらん	オオバアラン	0
oobaarappu	おおばあらっぷ	オオバアラップ	0
ooboe	おおぼえ	オオボエ	0
oobun	おおぶん	オオブン	0
oobune	おおぶね	オオブネ	0
oochaado	おおちゃあど	オオチャアド	0
oodaa	おおだあ	オオダア	0
oodaameido	おおだあめいど	オオダアメイド	0
oodai	おおだい	オオダイ	0
oodana	おおだな	オオダナ	0
oodeio	おおでいお	オオデイオ	0
oodeishon	おおでいしょん	オオデイション	0
oodo	おおど	オオド	0
oodoburu	おおどぶる	オオドブル	0
oodoori	おおどおり	オオドオリ	0
ooeda	おおえだ	オオエダ	0
ooga	おおが	オオガ	0
oogakari	おおがかり	オオガカリ	0
oogata	おおがた	オオガタ	0
oogesa	おおげさ	オオゲサ	0
oogoe	おおごえ	オオゴエ	0
ooguchi	おおぐち	オオグチ	0
oohaba	おおはば	オオハバ	0
ooi	おおい	オオイ	0
ooikeimyou	おおいけいみょう	オオイケイミョウ	0
ooini	おおいに	オオイニ	0
ooisogi	おおいそぎ	オオイソギ	0
oojidai	おおじだい	オオジダイ	0
ookami	おおかみ	オオカミ	0
ookata	おおかた	オオカタ	0
ookee	おおけえ	オオケエ	0
ookesutora	おおけすとら	オオケストラ	0
ookii	おおきい	オオキイ	0
ookikunaru	おおきくなる	オオキクナル	0
ookina	おおきな	オオキナ	0
ookisa	おおきさ	オオキサ	0
ooku	おおく	オオク	0
ookura	おおくら	オオクラ	0
ookurashou	おおくらしょう	オオクラショウ	0
ookushon	おおくしょん	オオクション	0
ookusu	おおくす	オオクス	0
oom	おお	オオ	2
oomaka	おおまか	オオマカ	0
oome	おおめ	オオメ	0
oomisoka	おおみそか	オオミソカ	0
oomizu	おおみず	オオミズ	0
oomo	おおも	オオモ	0
oomoji	おおもじ	オオモジ	0
oomono	おおもの	オオモノ	0
oomor	おおも	オオモ	4
oomori	おおもり	オオモリ	0
oomoribidou	おおもりびどう	オオモリビドウ	0
oomugi	おおむぎ	オオムギ	0
oomukashi	おおむかし	オオムカシ	0
oonaa	おおなあ	オオナア	0
oono	おおの	オオノ	0
oootoko	おおおとこ	オオオトコ	0
oopun	おおぷん	オオプン	0
oopuningu	おおぷにんぐ	オオプニング	0
oopunkaa	おおぷんかあ	オオプンカア	0
oopunsen	おおぷんせん	オオプンセン	0
oopunsetto	おおぷんせっと	オオプンセット	0
oor	おお	オオ	2
oora	おおら	オオラ	0
ooro	おおろ	オオロ	0
ooror	おおろ	オオロ	4
oorora	おおろら	オオロラ	0
oororakouhai	おおろらこうはい	オオロラコウハイ	0
ooru	おおる	オオル	0
oorudogaado	おおるどがあど	オオルドガアド	0
oorumaitei	おおるまいてい	オオルマイテイ	0
oorunaito	おおるないと	オオルナイト	0
ooruraundo	おおるらうんど	オオルラウンド	0
oorusutaa	おおるすたあ	オオルスタア	0
oorusutaakyasuto	おおるすたあきゃすと	オオルスタアキャスト	0
oosaji	おおさじ	オオサジ	0
oosaka	おおさか	オオサカ	0
oosawagi	おおさわぎ	オオサワギ	0
ooshan	おおしゃん	オオシャン	0
ooshi	おおし	オオシ	0
oosodokkusu	おおそどっくす	オオソドックス	0
oosouji	おおそうじ	オオソウジ	0
oosuji	おおすじ	オオスジ	0
oosutoraria	おおすとらりあ	オオストラリア	0
oot	おお	オオ	2
oote	おおて	オオテ	0
ootekigyou	おおてきぎょう	オオテキギョウ	0
ooto	おおと	オオト	0
ootob	おおと	オオト	4
ootoba	おおとば	オオトバ	0
ootobai	おおとばい	オオトバイ	0
ootobaikangaenaosu	おおとばいかんがえなおす	オオトバイカンガエナオス	0
ootokuchuuru	おおとくちゅうる	オオトクチュウル	0
ootokyanpu	おおときゃんぷ	オオトキャンプ	0
ootomachikku	おおとまちっく	オオトマチック	0
ootomeeshon	おおとめえしょん	オオトメエション	0
ootorokku	おおとろっく	オオトロック	0
oots	おお	オオ	2
ootsu	おおつ	オオツ	0
ootsub	おおつ	オオツ	5
ootsubu	おおつぶ	オオツブ	0
ootsubusenseki	おおつぶせんせき	オオツブセンセキ	0
oou	おおう	オオウ	0
oowarai	おおわらい	オオワライ	0
ooya	おおや	オオヤ	0
ooyake	おおやけ	オオヤケ	0
ooyorokobi	おおよろこび	オオヨロコビ	0
ooyuki	おおゆき	オオユキ	0
oozappa	おおざっぱ	オオザッパ	0
oozei	おおぜい	オオゼイ	0
oozeki	おおぜき	オオゼキ	0
oozora	おおぞら	オオゾラ	0
oozume	おおずめ	オオズメ	0
oozumou	おおずもう	オオズモウ	0
ope	おぺ	オペ	0
opera	おぺら	オペラ	0
opereeshon	おぺれえしょん	オペレエション	0
opereetaa	おぺれえたあ	オペレエタア	0
operetta	おぺれった	オペレッタ	0
opinion	おぴにおん	オピニオン	0
opinionriidaa	おぴにおんりいだあ	オピニオンリイダア	0
oppai	おっぱい	オッパイ	0
opushon	おぷしょん	オプション	0
or	お	オ	1
orakuru	おらくる	オラクル	0
oranda	おらんだ	オランダ	0
oranuutan	おらぬうたん	オラヌウタン	0
oratorio	おらとりお	オラトリオ	0
ore	おれ	オレ	0
orei	おれい	オレイ	0
orenji	おれんじ	オレンジ	0
orenjiiro	おれんじいろ	オレンジイロ	0
oreru	おれる	オレル	0
ori	おり	オリ	0
oriai	おりあい	オリアイ	0
orie	おりえ	オリエ	0
orien	おりえん	オリエン	0
orient	おりえん	オリエン	5
orienta	おりえんた	オリエンタ	0
orientar	おりえんた	オリエンタ	7
orientari	おりえんたり	オリエンタリ	0
orientariz	おりえんたり	オリエンタリ	9
orientarizu	おりえんたりず	オリエンタリズ	0
orientarizum	おりえんたりず	オリエンタリズ	11
orientarizumu	おりえんたりずむ	オリエンタリズム	0
orientarizumukoutetsu	おりえんたりずむこうてつ	オリエンタリズムコウテツ	0
orientaru	おりえんたる	オリエンタル	0
orienteeringu	おりえんてえりんぐ	オリエンテエリング	0
orienteeshon	おりえんてえしょん	オリエンテエション	0
oriento	おりえんと	オリエント	0
origami	おりがみ	オリガミ	0
origomaa	おりごまあ	オリゴマア	0
oriibuiro	おりいぶいろ	オリイブイロ	0
orijinariteii	おりじなりていい	オリジナリテイイ	0
orijinaru	おりじなる	オリジナル	0
orikaeshi	おりかえし	オリカエシ	0
orikaesu	おりかえす	オリカエス	0
orikara	おりから	オリカラ	0
orimono	おりもの	オリモノ	0
orinifurete	おりにふれて	オリニフレテ	0
orinpikku	おりんぴっく	オリンピック	0
orion	おりおん	オリオン	0
oriori	おりおり	オリオリ	0
oriru	おりる	オリル	0
oritatami	おりたたみ	オリタタミ	0
oriwariaini	おりわりあいに	オリワリアイニ	0
oro	おろ	オロ	0
oroka	おろか	オロカ	0
oroo	おろお	オロオ	0
oroor	おろお	オロオ	4
orooro	おろおろ	オロオロ	0
oroorokenage	おろおろけなげ	オロオロケナゲ	0
oroshi	おろし	オロシ	0
oroshine	おろしね	オロシネ	0
oroshiuri	おろしうり	オロシウリ	0
oroshiuribukka	おろしうりぶっか	オロシウリブッカ	0
oroshiurishijou	おろしうりしじょう	オロシウリシジョウ	0
orosoka	おろそか	オロソカ	0
orosu	おろす	オロス	0
oru	おる	オル	0
orugan	おるがん	オルガン	0
orugooru	おるごおる	オルゴオル	0
orugu	おるぐ	オルグ	0
os	お	オ	1
osae	おさえ	オサエ	0
osaeru	おさえる	オサエル	0
osakini	おさきに	オサキニ	0
osamari	おさまり	オサマリ	0
osamaru	おさまる	オサマル	0
osameru	おさめる	オサメル	0
osan	おさん	オサン	0
osanago	おさなご	オサナゴ	0
osanai	おさない	オサナイ	0
osananajimi	おさななじみ	オサナナジミ	0
oseania	おせあにあ	オセアニア	0
osechi	おせち	オセチ	0
osechiryouri	おせちりょうり	オセチリョウリ	0
oseibo	おせいぼ	オセイボ	0
oseji	おせじ	オセジ	0
osekkai	おせっかい	オセッカイ	0
osen	おせん	オセン	0
osewaninaru	おせわになる	オセワニナル	0
osh	お	オ	1
oshaberi	おしゃべり	オシャベリ	0
oshare	おしゃれ	オシャレ	0
oshi	おし	オシ	0
oshibori	おしぼり	オシボリ	0
oshidashi	おしだし	オシダシ	0
oshie	おしえ	オシエ	0
oshiego	おしえご	オシエゴ	0
oshier	おしえ	オシエ	5
oshieru	おしえる	オシエル	0
oshieruninsanpu	おしえるにんさんぷ	オシエルニンサンプ	0
oshiharaihouhou	おしはらいほうほう	オシハライホウホウ	0
oshii	おしい	オシイ	0
oshiire	おしいれ	オシイレ	0
oshiiri	おしいり	オシイリ	0
oshiiru	おしいる	オシイル	0
oshik	おし	オシ	4
oshiki	おしき	オシキ	0
oshikir	おしき	オシキ	6
oshikiru	おしきる	オシキル	0
oshikirudainin	おしきるだいにん	オシキルダイニン	0
oshikko	おしっこ	オシッコ	0
oshikomu	おしこむ	オシコム	0
oshimai	おしまい	オシマイ	0
oshimondou	おしもんどう	オシモンドウ	0
oshimu	おしむ	オシム	0
oshiroi	おしろい	オシロイ	0
oshitsukeru	おしつける	オシツケル	0
oshiuri	おしうり	オシウリ	0
oshoku	おしょく	オショク	0
oshou	おしょう	オショウ	0
osoi	おそい	オソイ	0
osoraku	おそらく	オソラク	0
osore	おそれ	オソレ	0
osoreru	おそれる	オソレル	0
osoroshii	おそろしい	オソロシイ	0
osorubeki	おそるべき	オソルベキ	0
osoruosoru	おそるおそる	オソルオソル	0
osou	おそう	オソウ	0
osoushiki	おそうしき	オソウシキ	0
osowaru	おそわる	オソワル	0
osozaki	おそざき	オソザキ	0
ossan	おっさん	オッサン	0
ossharu	おっしゃる	オッシャル	0
osu	おす	オス	0
osui	おすい	オスイ	0
osukaa	おすかあ	オスカア	0
osumitsuki	おすみつき	オスミツキ	0
ot	お	オ	1
otagaini	おたがいに	オタガイニ	0
otaku	おたく	オタク	0
otameshiare	おためしあれ	オタメシアレ	0
otanjoubi	おたんじょうび	オタンジョウビ	0
otanjoubiomedetougozaimasu	おたんじょうびおめでとうございます	オタンジョウビオメデトウゴザイマス	0
otawa	おたわ	オタワ	0
ote	おて	オテ	0
otea	おてあ	オテア	0
oteage	おてあげ	オテアゲ	0
otear	おてあ	オテア	4
oteara	おてあら	オテアラ	0
otearai	おてあらい	オテアライ	0
otearaikennai	おてあらいけんない	オテアライケンナイ	0
oten	おてん	オテン	0
otenki	おてんき	オテンキ	0
otesuu	おてすう	オテスウ	0
otesuudesuga	おてすうですが	オテスウデスガ	0
otetsudai	おてつだい	オテツダイ	0
otetsudaisan	おてつだいさん	オテツダイサン	0
oto	おと	オト	0
otoko	おとこ	オトコ	0
otokomae	おとこまえ	オトコマエ	0
otokonohito	おとこのひと	オトコノヒト	0
otokonoko	おとこのこ	オトコノコ	0
otokorashii	おとこらしい	オトコラシイ	0
otokotachi	おとこたち	オトコタチ	0
otoku	おとく	オトク	0
otona	おとな	オトナ	0
otonaninaru	おとなになる	オトナニナル	0
otonappoi	おとなっぽい	オトナッポイ	0
otonashii	おとなしい	オトナシイ	0
otoroe	おとろえ	オトロエ	0
otoroeru	おとろえる	オトロエル	0
otoru	おとる	オトル	0
otoshiana	おとしあな	オトシアナ	0
otoshidama	おとしだま	オトシダマ	0
otoshimono	おとしもの	オトシモノ	0
otoshiyori	おとしより	オトシヨリ	0
otosu	おとす	オトス	0
ototoi	おととい	オトトイ	0
ototoshi	おととし	オトトシ	0
otousan	おとうさん	オトウサン	0
otouto	おとうと	オトウト	0
otozure	おとずれ	オトズレ	0
otozureru	おとずれる	オトズレル	0
otsu	おつ	オツ	0
otsukai	おつかい	オツカイ	0
otsukaresama	おつかれさま	オツカレサマ	0
otsuri	おつり	オツリ	0
otte	おって	オッテ	0
otto	おっと	オット	0
ou	おう	オウ	0
oub	おう	オウ	2
oube	おうべ	オウベ	0
oubei	おうべい	オウベイ	0
oubeiippin	おうべいいっぴん	オウベイイッピン	0
oubo	おうぼ	オウボ	0
oubosha	おうぼしゃ	オウボシャ	0
oubou	おうぼう	オウボウ	0
oubun	おうぶん	オウブン	0
ouchaku	おうちゃく	オウチャク	0
ouchi	おうち	オウチ	0
ouchou	おうちょう	オウチョウ	0
ouda	おうだ	オウダ	0
oudan	おうだん	オウダン	0
oudanhodou	おうだんほどう	オウダンホドウ	0
oudanmaku	おうだんまく	オウダンマク	0
ouen	おうえん	オウエン	0
oufuku	おうふく	オウフク	0
ougi	おうぎ	オウギ	0
ougigata	おうぎがた	オウギガタ	0
ougon	おうごん	オウゴン	0
ougonjidai	おうごんじだい	オウゴンジダイ	0
ouh	おう	オウ	2
ouhe	おうへ	オウヘ	0
ouhei	おうへい	オウヘイ	0
ouheiookina	おうへいおおきな	オウヘイオオキナ	0
ouhi	おうひ	オウヒ	0
oui	おうい	オウイ	0
ouja	おうじゃ	オウジャ	0
ouji	おうじ	オウジ	0
oujiru	おうじる	オウジル	0
oujo	おうじょ	オウジョ	0
oujou	おうじょう	オウジョウ	0
ouka	おうか	オウカ	0
oukan	おうかん	オウカン	0
oukoku	おうこく	オウコク	0
oukou	おうこう	オウコウ	0
oukyuu	おうきゅう	オウキュウ	0
ounen	おうねん	オウネン	0
our	おう	オウ	2
ourai	おうらい	オウライ	0
ouri	おうり	オウリ	0
ourit	おうり	オウリ	4
ourits	おうり	オウリ	4
ouritsu	おうりつ	オウリツ	0
ouritsutaiki	おうりつたいき	オウリツタイキ	0
ouryou	おうりょう	オウリョウ	0
ousama	おうさま	オウサマ	0
ousatsu	おうさつ	オウサツ	0
ousei	おうせい	オウセイ	0
ousen	おうせん	オウセン	0
ousetsu	おうせつ	オウセツ	0
oushin	おうしん	オウシン	0
oushitsu	おうしつ	オウシツ	0
oushou	おうしょう	オウショウ	0
oushuu	おうしゅう	オウシュウ	0
outai	おうたい	オウタイ	0
oute	おうて	オウテ	0
outen	おうてん	オウテン	0
outo	おうと	オウト	0
outotsu	おうとつ	オウトツ	0
outou	おうとう	オウトウ	0
ouyou	おうよう	オウヨウ	0
ouza	おうざ	オウザ	0
ouzoku	おうぞく	オウゾク	0
ouzuru	おうずる	オウズル	0
owabi	おわび	オワビ	0
owari	おわり	オワリ	0
owarine	おわりね	オワリネ	0
owaru	おわる	オワル	0
oy	お	オ	1
oya	おや	オヤ	0
oyabaka	おやばか	オヤバカ	0
oyabun	おやぶん	オヤブン	0
oyafukou	おやふこう	オヤフコウ	0
oyagaisha	おやがいしゃ	オヤガイシャ	0
oyaj	おや	オヤ	3
oyaji	おやじ	オヤジ	0
oyajitoriwake	おやじとりわけ	オヤジトリワケ	0
oyakata	おやかた	オヤカタ	0
oyako	おやこ	オヤコ	0
oyakoukou	おやこうこう	オヤコウコウ	0
oyasumi	おやすみ	オヤスミ	0
oyasuminasai	おやすみなさい	オヤスミナサイ	0
oyat	おや	オヤ	3
oyats	おや	オヤ	3
oyatsu	おやつ	オヤツ	0
oyatsumono	おやつもの	オヤツモノ	0
oyayubi	おやゆび	オヤユビ	0
oyayuzuri	おやゆずり	オヤユズリ	0
oyobi	および	オヨビ	0
oyobosu	およぼす	オヨボス	0
oyobu	およぶ	オヨブ	0
oyogi	およぎ	オヨギ	0
oyogu	およぐ	オヨグ	0
oyoso	およそ	オヨソ	0
ozon	おぞん	オゾン	0
ozonhooru	おぞんほおる	オゾンホオル	0
p			0
pa	ぱ	パ	0
paa	ぱあ	パア	0
paafyekuto	ぱあふぇくと	パアフェクト	0
paaji	ぱあじ	パアジ	0
paak	ぱあ	パア	3
paakaa	ぱあかあ	パアカア	0
paakasshon	ぱあかっしょん	パアカッション	0
paakingu	ぱあきんぐ	パアキング	0
paaku	ぱあく	パアク	0
paakujunnou	ぱあくじゅんのう	パアクジュンノウ	0
paama	ぱあま	パアマ	0
paamubooru	ぱあむぼおる	パアムボオル	0
paapuree	ぱあぷれえ	パアプレエ	0
paapuru	ぱあぷる	パアプル	0
paaraa	ぱあらあ	パアラア	0
paaren	ぱあれん	パアレン	0
paaru	ぱある	パアル	0
paasento	ぱあせんと	パアセント	0
paaseputoron	ぱあせぷとろん	パアセプトロン	0
paasonariteii	ぱあそなりていい	パアソナリテイイ	0
paasonaru	ぱあそなる	パアソナル	0
paasu	ぱあす	パアス	0
paatei	ぱあてい	パアテイ	0
paateii	ぱあていい	パアテイイ	0
paato	ぱあと	パアト	0
paatonaa	ぱあとなあ	パアトナア	0
paatotaimaa	ぱあとたいまあ	パアトタイマア	0
paatotaimu	ぱあとたいむ	パアトタイム	0
paatsu	ぱあつ	パアツ	0
pabirion	ぱびりおん	パビリオン	0
pabu	ぱぶ	パブ	0
paburikku	ぱぶりっく	パブリック	0
paburishiteii	ぱぶりしていい	パブリシテイイ	0
pac	ぱ	パ	2
pach	ぱ	パ	2
pachi	ぱち	パチ	0
pachin	ぱちん	パチン	0
pachink	ぱちん	パチン	6
pachinko	ぱちんこ	パチンコ	0
pachinkoshozaichi	ぱちんこしょざいち	パチンコショザイチ	0
pachipachi	ぱちぱち	パチパチ	0
pacwa	ぱくぁ	パクァ	0
paddo	ぱっど	パッド	0
padokku	ぱどっく	パドック	0
padoru	ぱどる	パドル	0
pafuoomansu	ぱふおおまんす	パフオオマンス	0
pagoda	ぱごだ	パゴダ	0
pai	ぱい	パイ	0
painappuru	ぱいなっぷる	パイナップル	0
painjuusu	ぱいんじゅうす	パインジュウス	0
paio	ぱいお	パイオ	0
paion	ぱいおん	パイオン	0
paioni	ぱいおに	パイオニ	0
paionia	ぱいおにあ	パイオニア	0
paioniashoshutsu	ぱいおにあしょしゅつ	パイオニアショシュツ	0
paipu	ぱいぷ	パイプ	0
pairotto	ぱいろっと	パイロット	0
pajama	ぱじゃま	パジャマ	0
pakisutan	ぱきすたん	パキスタン	0
pakkeeji	ぱっけえじ	パッケエジ	0
pakkingu	ぱっきんぐ	パッキング	0
pakku	ぱっく	パック	0
pan	ぱん	パン	0
panama	ぱなま	パナマ	0
panamerikanizumu	ぱなめりかにずむ	パナメリカニズム	0
panchi	ぱんち	パンチ	0
panchipaama	ぱんちぱあま	パンチパアマ	0
panda	ぱんだ	パンダ	0
paneraa	ぱねらあ	パネラア	0
panerisuto	ぱねりすと	パネリスト	0
paneru	ぱねる	パネル	0
panf	ぱん	パン	3
panfu	ぱんふ	パンフ	0
panfur	ぱんふ	パンフ	5
panfure	ぱんふれ	パンフレ	0
panfuret	ぱんふれ	パンフレ	7
panfurett	ぱんふれ	パンフレ	7
panfuretto	ぱんふれっと	パンフレット	0
panfurettoonnarashii	ぱんふれっとおんならしい	パンフレットオンナラシイ	0
panikku	ぱにっく	パニック	0
panjii	ぱんじい	パンジイ	0
panko	ぱんこ	パンコ	0
panku	ぱんく	パンク	0
panmunjomu	ぱんむんじょむ	パンムンジョム	0
pano	ぱの	パノ	0
panor	ぱの	パノ	4
panora	ぱのら	パノラ	0
panoram	ぱのら	パノラ	6
panorama	ぱのらま	パノラマ	0
panoramakakikotoba	ぱのらまかきことば	パノラマカキコトバ	0
panpusu	ぱんぷす	パンプス	0
pantagurafu	ぱんたぐらふ	パンタグラフ	0
panteii	ぱんていい	パンテイイ	0
panto	ぱんと	パント	0
pantomaimu	ぱんとまいむ	パントマイム	0
pantsu	ぱんつ	パンツ	0
panya	ぱにゃ	パニャ	0
papa	ぱぱ	パパ	0
papaiya	ぱぱいや	パパイヤ	0
papasan	ぱぱさん	パパサン	0
par	ぱ	パ	2
parabora	ぱらぼら	パラボラ	0
paraboraantena	ぱらぼらあんてな	パラボラアンテナ	0
paradaimu	ぱらだいむ	パラダイム	0
paradaisu	ぱらだいす	パラダイス	0
paradokkusu	ぱらどっくす	パラドックス	0
paraguraidaa	ぱらぐらいだあ	パラグライダア	0
parapara	ぱらぱら	パラパラ	0
pararinpikku	ぱらりんぴっく	パラリンピック	0
parashuuto	ぱらしゅうと	パラシュウト	0
parasoru	ぱらそる	パラソル	0
pareedo	ぱれえど	パレエド	0
paresu	ぱれす	パレス	0
paresuchina	ぱれすちな	パレスチナ	0
paretto	ぱれっと	パレット	0
pari	ぱり	パリ	0
pariigu	ぱりいぐ	パリイグ	0
parodeii	ぱろでいい	パロデイイ	0
paru	ぱる	パル	0
paruchizan	ぱるちざん	パルチザン	0
parup	ぱる	パル	4
parupu	ぱるぷ	パルプ	0
parupusho	ぱるぷしょ	パルプショ	0
parusaa	ぱるさあ	パルサア	0
parusu	ぱるす	パルス	0
pasapasa	ぱさぱさ	パサパサ	0
